ID;SID;x;y;z
596;70;16.00;101.25;111.70
597;70;16.50;100.75;111.75
598;70;16.50;100.75;111.70
599;70;16.50;101.25;111.75
600;70;16.50;101.25;111.70
601;71;16.00;101.25;111.75
602;71;16.00;101.25;111.70
603;71;16.00;101.75;111.75
604;71;16.00;101.75;111.70
605;71;16.50;101.25;111.75
606;71;16.50;101.25;111.70
607;71;16.50;101.75;111.75
608;71;16.50;101.75;111.70
609;72;16.50;101.25;111.75
610;72;16.50;101.25;111.70
611;72;16.50;101.75;111.75
612;72;16.50;101.75;111.70
613;72;17.00;101.25;111.75
614;72;17.00;101.25;111.70
615;72;17.00;101.75;111.75
616;72;17.00;101.75;111.70
617;73;16.50;100.75;111.75
618;73;16.50;100.75;111.70
619;73;16.50;101.25;111.75
620;73;16.50;101.25;111.70
621;73;17.00;100.75;111.75
622;73;17.00;100.75;111.70
623;73;17.00;101.25;111.75
624;73;17.00;101.25;111.70
625;78;17.00;100.75;111.75
626;78;17.00;100.75;111.70
627;78;17.00;101.25;111.75
628;78;17.00;101.25;111.70
629;78;17.50;100.75;111.75
630;78;17.50;100.75;111.70
631;78;17.50;101.25;111.75
632;78;17.50;101.25;111.70
633;79;17.00;101.25;111.75
634;79;17.00;101.25;111.70
635;79;17.00;101.75;111.75
636;79;17.00;101.75;111.70
637;79;17.50;101.25;111.75
638;79;17.50;101.25;111.70
639;79;17.50;101.75;111.75
640;79;17.50;101.75;111.70
641;80;17.50;101.25;111.75
642;80;17.50;101.25;111.70
643;80;17.50;101.75;111.75
644;80;17.50;101.75;111.70
645;80;18.00;101.25;111.75
646;80;18.00;101.25;111.70
647;80;18.00;101.75;111.75
648;80;18.00;101.75;111.70
649;81;17.50;100.75;111.75
650;81;17.50;100.75;111.70
651;81;17.50;101.25;111.75
652;81;17.50;101.25;111.70
653;81;18.00;100.75;111.75
654;81;18.00;100.75;111.70
655;81;18.00;101.25;111.75
656;81;18.00;101.25;111.70
657;87;16.00;101.75;111.70
658;87;16.00;101.75;111.65
659;87;16.00;102.25;111.70
660;87;16.00;102.25;111.65
661;87;16.50;101.75;111.70
662;87;16.50;101.75;111.65
663;87;16.50;102.25;111.70
